"Dis.No" "Year" "Seq" "Glide" "Disaster.Group" "Disaster.Subgroup" "Disaster.Type" "Disaster.Subtype" "Disaster.Subsubtype" "Event.Name" "Country" "ISO" "Region" "Continent" "Location" "Origin" "Associated.Dis" "Associated.Dis2" "OFDA.Response" "Appeal" "Declaration" "AID.Contribution...000.US.." "Dis.Mag.Value" "Dis.Mag.Scale" "Latitude" "Longitude" "Local.Time" "River.Basin" "Start.Year" "Start.Month" "Start.Day" "End.Year" "End.Month" "End.Day" "Total.Deaths" "No.Injured" "No.Affected" "No.Homeless" "Total.Affected" "Reconstruction.Costs...000.US.." "Reconstruction.Costs..Adjusted...000.US.." "Insured.Damages...000.US.." "Insured.Damages..Adjusted...000.US.." "Total.Damages...000.US.." "Total.Damages..Adjusted...000.US.." "CPI" "Adm.Level" "Admin1.Code" "Admin2.Code" "Geo.Locations"
"1985-9211-CHN" 1985 9211 "" "Natural" "Climatological" "Drought" "Drought" "" "" "China" "CHN" "Eastern Asia" "Asia" "Fujian province" "" "" "" "" "" "" NA 142000 "Km2" "" "" "" "" 1985 NA NA 1986 NA NA NA NA NA NA NA NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0386-DZA" 1985 386 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Algeria" "DZA" "Northern Africa" "Africa" "Constantine-Skikda area" "" "" "" "" "" "" NA 6 "Richter" "36.46" "6.791" "20:34" "" 1985 10 27 1985 10 27 30 NA NA NA NA NA NA NA NA 1000 2519 39.69693418 "" "" "" ""
"1985-0035-ECU" 1985 35 "" "Natural" "Climatological" "Wildfire" "Land fire (Brush, Bush, Pasture)" "" "" "Ecuador" "ECU" "South America" "Americas" "Isabela IsL, Gualapagos" "" "" "" "Yes" "" "" NA 300 "Km2" "" "" "" "" 1985 2 28 1985 2 28 NA NA 800 NA 800 NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0271-ESP" 1985 271 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Spain" "ESP" "Southern Europe" "Europe" "Galicia, Andalusia" "" "" "" "" "" "" NA 30 "Km2" "" "" "" "" 1985 9 12 1985 9 12 NA NA NA NA NA NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0096-ESP" 1985 96 "" "Natural" "Climatological" "Wildfire" "Land fire (Brush, Bush, Pasture)" "" "" "Spain" "ESP" "Southern Europe" "Europe" "Near Castellon De La Plana, Avila, Guadalajara, Madrid provinces" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1985 8 6 1985 8 6 NA NA 300 NA 300 NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0087-FRA" 1985 87 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "France" "FRA" "Western Europe" "Europe" "South, Corsica" "" "" "" "" "" "" NA 45 "Km2" "" "" "" "" 1985 8 NA 1985 8 NA 6 130 NA NA 130 NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0033-GHA" 1985 33 "" "Natural" "Climatological" "Wildfire" "Land fire (Brush, Bush, Pasture)" "" "" "Ghana" "GHA" "Western Africa" "Africa" "Central" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1985 2 25 1985 2 25 4 NA 1500 NA 1500 NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0256-GRC" 1985 256 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Greece" "GRC" "Southern Europe" "Europe" "Hydra, Evvia" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1985 7 16 1985 7 16 3 NA NA NA NA NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0120-GTM" 1985 120 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Guatemala" "GTM" "Central America" "Americas" "Tierra Blanca, Catoxac canton, San Lucas canton, San Antonio Chiquito (San Miguel Uspantan)" "" "" "" "Yes" "" "" NA 5 "Richter" "15.299" "-90.863" "03:39" "" 1985 10 11 1985 10 11 NA NA 1500 3500 5000 NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1986-0140-BGR" 1986 140 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Bulgaria" "BGR" "Eastern Europe" "Europe" "Strazhitsa (Tyrnovo region)" "" "" "" "" "No" "No" NA 5 "Richter" "43.12 N" "25.57 E" "" "" 1986 12 7 1986 12 7 3 60 NA 3000 3060 NA NA NA NA NA NA 40.45040892 "" "" "" ""
"1986-0141-BRA" 1986 141 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Brazil" "BRA" "South America" "Americas" "Joao Camara, Pobo Branco" "" "" "" "" "No" "No" NA 5 "Richter" "3.58 S" "62.42 W" "" "" 1986 11 30 1986 11 30 1 NA 15000 8000 23000 NA NA NA NA 5000 12361 40.45040892 "" "" "" ""
"1986-0188-CAN" 1986 188 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Canada" "CAN" "Northern America" "Americas" "Grand Falls, Newfoundland" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1986 5 15 1986 5 15 NA NA 1000 NA 1000 NA NA NA NA NA NA 40.45040892 "" "" "" ""
"1986-0242-CAN" 1986 242 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Canada" "CAN" "Northern America" "Americas" "George Town & Burton, New Brunswick" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1986 5 15 1986 5 15 NA NA 1000 NA 1000 NA NA NA NA NA NA 40.45040892 "" "" "" ""
"1986-0173-CHN" 1986 173 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "China" "CHN" "Eastern Asia" "Asia" "Ombu area, Tibet" "" "" "" "" "No" "No" NA 6 "Richter" "31.240 N" "86.847 E" "" "" 1986 6 20 1986 6 20 NA NA NA 290 290 NA NA NA NA NA NA 40.45040892 "" "" "" ""
"1986-0100-CMR" 1986 100 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Lake Nyos" "Cameroon" "CMR" "Middle Africa" "Africa" "Lake Nyos (Wum region)" "" "" "" "Yes" "No" "No" NA NA "" "" "" "" "" 1986 8 24 1986 8 25 1746 437 10000 NA 10437 NA NA NA NA NA NA 40.45040892 "" "" "" ""
"1986-9404-CUB" 1986 9404 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Cuba" "CUB" "Caribbean" "Americas" "" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1986 NA NA 1986 NA NA NA NA NA NA NA NA NA NA NA NA NA 40.45040892 "" "" "" ""
"1986-0083-FRA" 1986 83 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "France" "FRA" "Western Europe" "Europe" "Languedoc, Roussillon, Provence, Cote d'Azur" "" "" "" "" "" "" NA 40 "Km2" "" "" "" "" 1986 7 24 1986 7 24 5 NA 2000 NA 2000 NA NA NA NA NA NA 40.45040892 "" "" "" ""
"1986-0113-GRC" 1986 113 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Greece" "GRC" "Southern Europe" "Europe" "Kalamata (Southwestern Peloppinos)" "" "" "" "Yes" "No" "No" NA 6 "Richter" "37.02 N" "22.07 E" "" "" 1986 9 13 1986 9 13 20 300 45000 NA 45300 NA NA NA NA 745000 1841761 40.45040892 "" "" "" ""
"1986-0170-GTM" 1986 170 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Guatemala" "GTM" "Central America" "Americas" "Ixchiguan (San Marcos province)" "" "" "" "" "No" "No" NA 5 "Richter" "15.075 N" "92.072 W" "" "" 1986 2 3 1986 2 3 NA NA 2500 NA 2500 NA NA NA NA NA NA 40.45040892 "" "" "" ""
"1987-0144-CHL" 1987 144 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Chile" "CHL" "South America" "Americas" "Arica, Iquique several small Andean towns" "" "Slide (land, mud, snow, rock)" "" "" "" "" NA 7 "Richter" "-19.022" "-69.991" "11:48" "" 1987 8 8 1987 8 8 5 112 NA 5000 5112 NA NA NA NA 1000 2385 41.93273562 "" "" "" ""
"1987-0070-ECU" 1987 70 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Ecuador" "ECU" "South America" "Americas" "Carchi, Imbabura, Pastaza, Napo provinces" "" "Slide (land, mud, snow, rock)" "" "Yes" "Yes" "Yes" NA 7 "Richter" "0.151" "-77.785" "23:10" "" 1987 3 5 1987 3 5 5000 NA NA 150000 150000 NA NA NA NA 1500000 3577158 41.93273562 "" "" "" ""
"1987-0162-ECU" 1987 162 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Ecuador" "ECU" "South America" "Americas" "Ambato (Tungurahua province)" "" "Slide (land, mud, snow, rock)" "" "" "" "" NA 6 "Richter" "-0.978" "-78.05" "8:43" "" 1987 9 22 1987 9 22 2 6 NA NA 6 NA NA NA NA NA NA 41.93273562 "" "" "" ""
"1987-0002-ARG" 1987 2 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Argentina" "ARG" "South America" "Americas" "Lanin area (Neuquen province), El Bolson area (Chubut province), Rio Negro province" "" "" "" "Yes" "" "" NA NA "Km2" "" "" "" "" 1987 1 22 1987 1 22 NA 2 152000 750 152752 NA NA NA NA 100000 238477 41.93273562 "" "" "" ""
"1987-9103-BRA" 1987 9103 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Brazil" "BRA" "South America" "Americas" "Alagoas, Minas, Bahia, Maranhao, Piaui, Ceara, Rio Grande Do Norte, Paraiba, Pernambuco, Sergipe, Mina Gerais states" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1987 6 NA 1988 NA NA NA NA 750000 NA 750000 NA NA NA NA NA NA 41.93273562 "" "" "" ""
"1987-0102-CHN" 1987 102 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "China" "CHN" "Eastern Asia" "Asia" "Wushi area (XINGJIANG WEIWUER ZIZHIQU PROVINCE)" "" "" "" "" "" "" NA 6 "Richter" "41.529" "79.318" "16:09" "" 1987 1 24 1987 1 24 NA NA 2085 NA 2085 NA NA NA NA NA NA 41.93273562 "" "" "" ""
"1987-0149-CHN" 1987 149 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "China" "CHN" "Eastern Asia" "Asia" "Ganzhou-Xunwu area" "" "" "" "" "" "" NA 5 "Richter" "24.924" "115.608" "17:07" "" 1987 8 2 1987 8 2 NA 84 185000 NA 185084 NA NA NA NA NA NA 41.93273562 "" "" "" ""
"1987-0095-CHN" 1987 95 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "China" "CHN" "Eastern Asia" "Asia" "Mohe county (Heilongjiang province)" "" "" "" "Yes" "No" "No" NA 25000 "Km2" "" "" "" "" 1987 5 NA 1987 5 NA 191 221 56092 NA 56313 NA NA NA NA 110000 262325 41.93273562 "" "" "" ""
"1987-0138-CUB" 1987 138 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Cuba" "CUB" "Caribbean" "Americas" "Moa, Holguin" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1987 8 NA 1987 8 NA NA NA NA NA NA NA NA NA NA NA NA 41.93273562 "" "" "" ""
"1987-0306-DZA" 1987 306 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Algeria" "DZA" "Northern Africa" "Africa" "Wilaya de Chle, Wilaya de Tissemsilt, Daira de Bordj Bou Naama, Larbaa" "" "" "" "" "" "" NA 4 "Richter" "35.964" "1.374" "12:11" "" 1987 1 26 1987 1 26 1 7 3145 NA 3152 NA NA NA NA 1000 2385 41.93273562 "" "" "" ""
"1987-9014-ETH" 1987 9014 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Ethiopia" "ETH" "Eastern Africa" "Africa" "Ogaden, Eritrea, Tigray, Wello, Shewa, Gama, Gofa, Sidamo, Gondar, Bale" "" "" "" "Yes" "No" "No" NA NA "Km2" "" "" "" "" 1987 6 NA 1987 NA NA 367 NA 7000000 NA 7000000 NA NA NA NA NA NA 41.93273562 "" "" "" ""
"1987-0145-GRC" 1987 145 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Greece" "GRC" "Southern Europe" "Europe" "Rhodes" "" "" "" "" "" "" NA 160 "Km2" "" "" "" "" 1987 8 9 1987 8 9 NA NA NA NA NA NA NA NA NA NA NA 41.93273562 "" "" "" ""
"1987-0051-GTM" 1987 51 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Pacayo" "Guatemala" "GTM" "Central America" "Americas" "" "" "" "" "" "No" "No" NA NA "" "" "" "16:00" "" 1987 1 21 1987 1 25 NA 35 3000 NA 3035 NA NA NA NA NA NA 41.93273562 "" "" "" ""
"1987-0088-GTM" 1987 88 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Guatemala" "GTM" "Central America" "Americas" "Peten" "" "" "" "" "" "" NA 1500 "Km2" "" "" "" "" 1987 5 NA 1987 5 NA NA NA NA NA NA NA NA NA NA NA NA 41.93273562 "" "" "" ""
"1987-9588-GTM" 1987 9588 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Guatemala" "GTM" "Central America" "Americas" "Chiquimula area" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1987 NA NA 1988 NA NA NA NA 73000 NA 73000 NA NA NA NA NA NA 41.93273562 "" "" "" ""
"1988-0467-GRC" 1988 467 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Greece" "GRC" "Southern Europe" "Europe" "Near Killini, Vartholomion" "" "Slide (land, mud, snow, rock)" "" "" "" "" NA 6 "Richter" "37.938" "20.932" "14:34" "" 1988 10 16 1988 10 16 NA 25 NA NA 25 NA NA NA NA NA NA 43.64264159 "" "" "" ""
"1988-0043-GTM" 1988 43 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Guatemala" "GTM" "Central America" "Americas" "South" "" "Slide (land, mud, snow, rock)" "" "" "" "" NA 7 "Richter" "13.881" "-90.45" "08:47" "" 1988 11 3 1988 11 3 5 NA 500 NA 500 NA NA NA NA NA NA 43.64264159 "" "" "" ""
"1988-9237-CHN" 1988 9237 "" "Natural" "Climatological" "Drought" "Drought" "" "" "China" "CHN" "Eastern Asia" "Asia" "Hubei,Jiangsu, Henan, Anhui, Shandong, Zhejiang provinces" "" "Heat wave" "" "" "" "" NA 113000 "Km2" "" "" "" "" 1988 6 NA 1988 NA NA 1400 NA 49000000 NA 49000000 NA NA NA NA 942887 2160472 43.64264159 "" "" "" ""
"1988-9009-BFA" 1988 9009 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Burkina Faso" "BFA" "Western Africa" "Africa" "North" "" "Crop failure" "" "" "" "" NA NA "Km2" "" "" "" "" 1988 NA NA 1988 NA NA NA NA 200000 NA 200000 NA NA NA NA NA NA 43.64264159 "" "" "" ""
"1988-0702-ALB" 1988 702 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Albania" "ALB" "Southern Europe" "Europe" "Tirana, Ulcinj-Bar" "" "" "" "" "" "" NA 6 "Richter" "41.246" "19.63" "2:00" "" 1988 1 9 1988 1 9 NA NA 690 NA 690 NA NA NA NA NA NA 43.64264159 "" "" "" ""
"1988-0079-BGD" 1988 79 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Bangladesh" "BGD" "Southern Asia" "Asia" "Syhlet" "" "" "" "" "" "" NA 6 "Richter" "24.688" "91.57" "20:50" "" 1988 2 6 1988 2 6 2 100 NA NA 100 NA NA NA NA NA NA 43.64264159 "" "" "" ""
"1988-9449-BOL" 1988 9449 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Bolivia (Plurinational State of)" "BOL" "South America" "Americas" "Santa Cruz, La Paz, Chaco area" "" "" "" "" "No" "No" NA NA "Km2" "" "" "" "" 1988 10 NA 1988 NA NA NA NA NA NA NA NA NA NA NA 48400 110901 43.64264159 "" "" "" ""
"1988-9064-BRA" 1988 9064 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Brazil" "BRA" "South America" "Americas" "Rio Grande Do Sul, Santa Catarina" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1988 2 NA 1988 NA NA NA NA NA NA NA NA NA NA NA NA NA 43.64264159 "" "" "" ""
"1988-9638-CAN" 1988 9638 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Canada" "CAN" "Northern America" "Americas" "British Columbia, Ontario" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1988 1 NA 1988 NA NA NA NA NA NA NA NA NA NA NA 810000 1855983 43.64264159 "" "" "" ""
"1988-0524-CHL" 1988 524 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Lonquimay" "Chile" "CHL" "South America" "Americas" "Lonquimay" "" "" "" "" "No" "No" NA 50 "" "" "" "" "" 1988 12 NA 1988 12 NA NA NA 2000 NA 2000 NA NA NA NA NA NA 43.64264159 "" "" "" ""
"1988-0035-CHN" 1988 35 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "China" "CHN" "Eastern Asia" "Asia" "Lingwu (Ningxia province)" "" "" "" "" "" "" NA 6 "Richter" "38.111" "106.336" "05:32" "" 1988 1 4 1988 1 4 NA 60 50000 NA 50060 NA NA NA NA NA NA 43.64264159 "" "" "" ""
"1988-0502-CHN" 1988 502 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "China" "CHN" "Eastern Asia" "Asia" "Lancang, Menglian counties (Yunnan province)" "" "" "" "Yes" "" "" NA 8 "Richter" "22.789" "99.611" "21:03" "" 1988 11 6 1988 11 6 939 3364 1000000 267000 1270364 NA NA NA NA 269000 616370 43.64264159 "" "" "" ""
"1988-0136-COL" 1988 136 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Nevado Del Ruiz" "Colombia" "COL" "South America" "Americas" "" "" "" "" "" "No" "No" NA NA "" "" "" "" "" 1988 3 25 1988 3 25 NA NA 1900 NA 1900 NA NA NA NA NA NA 43.64264159 "" "" "" ""
"1988-9008-DJI" 1988 9008 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Djibouti" "DJI" "Eastern Africa" "Africa" "" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1988 3 NA 1988 NA NA NA NA 30000 NA 30000 NA NA NA NA NA NA 43.64264159 "" "" "" ""
"1988-0042-DZA" 1988 42 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Algeria" "DZA" "Northern Africa" "Africa" "Blida, Mede-Algiers areas" "" "" "" "" "" "" NA 5 "Richter" "36.443" "2.759" "11:12" "" 1988 10 31 1988 10 31 NA 57 NA 200 257 NA NA NA NA NA NA 43.64264159 "" "" "" ""
"1988-0463-GTM" 1988 463 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Guatemala" "GTM" "Central America" "Americas" "PALIN, SAN VICENTE PACAYA, Chamaltenango area" "" "" "" "" "" "" NA 6 "Richter" "13.881" "-90.45" "08:47" "" 1988 10 15 1988 10 15 NA NA NA 1550 1550 NA NA NA NA NA NA 43.64264159 "" "" "" ""
"1988-9026-GUY" 1988 9026 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Guyana" "GUY" "South America" "Americas" "" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1988 NA NA 1988 NA NA NA NA NA NA NA NA NA NA NA NA NA 43.64264159 "" "" "" ""
"1985-0110-IDN" 1985 110 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "Paniai District (Eastern Irian Jaya)" "" "" "" "" "" "" NA 6 "Richter" "-4.13" "136.049" "17:42" "" 1985 9 15 1985 9 15 10 7 NA NA 7 NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0083-IDN" 1985 83 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Mt. Sangeang" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "Ntb Prov." "" "" "" "" "" "" NA NA "" "" "" "" "" 1985 7 30 1985 7 30 NA NA 1078 NA 1078 NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0027-IRN" 1985 27 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Iran (Islamic Republic of)" "IRN" "Southern Asia" "Asia" "Fath-Abad (Firuzabad-Johrom region)" "" "" "" "" "" "" NA 5 "Richter" "28.399" "52.997" "00:22" "" 1985 2 3 1985 2 3 1 80 7000 NA 7080 NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0109-MEX" 1985 109 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Mexico" "MEX" "Central America" "Americas" "Mexico city, Michoacan, Jalisco" "" "" "" "Yes" "" "" NA 8 "Richter" "18.19" "-102.533" "03:47" "" 1985 9 19 1985 9 19 9500 30204 2000000 100000 2130204 NA NA NA NA 4104000 10338330 39.69693418 "" "" "" ""
"1985-0078-PAK" 1985 78 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Pakistan" "PAK" "Southern Asia" "Asia" "Chitral, Swat districts" "" "" "" "" "" "" NA 7 "Richter" "36.19" "70.896" "12:54" "" 1985 7 29 1985 7 29 5 38 12000 NA 12038 NA NA NA NA 2000 5038 39.69693418 "" "" "" ""
"1985-0191-PER" 1985 191 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Peru" "PER" "South America" "Americas" "Chimbote area" "" "" "" "" "" "" NA 6 "Richter" "-9.159" "-78.887" "06:26" "" 1985 8 21 1985 8 21 NA 100 NA 300 400 NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0071-PER" 1985 71 "" "Natural" "Geophysical" "Mass movement (dry)" "Landslide" "" "" "Peru" "PER" "South America" "Americas" "La Hoyada region" "" "" "" "" "" "" NA NA "" "" "" "" "" 1985 6 16 1985 6 16 NA NA NA NA NA NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0171-PHL" 1985 171 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Philippines (the)" "PHL" "South-Eastern Asia" "Asia" "Mindanao" "" "" "" "" "" "" NA 7 "Richter" "7.758" "123.544" "09:49" "" 1985 3 19 1985 3 19 2 25 150 NA 175 NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0125-PHL" 1985 125 "" "Natural" "Geophysical" "Mass movement (dry)" "Landslide" "" "" "Philippines (the)" "PHL" "South-Eastern Asia" "Asia" "South Mindanao" "" "" "" "" "" "" NA NA "" "" "" "" "" 1985 10 21 1985 10 21 300 NA NA NA NA NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0227-PNG" 1985 227 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Papua New Guinea" "PNG" "Melanesia" "Oceania" "Bialla, Piona regions (West New Britain)" "" "" "" "" "" "" NA 7 "Richter" "-5.599" "151.045" "01:35" "" 1985 5 11 1985 5 11 NA NA NA NA NA NA NA NA NA 1000 2519 39.69693418 "" "" "" ""
"1985-0267-PRT" 1985 267 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Portugal" "PRT" "Southern Europe" "Europe" "Lamego region" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1985 9 9 1985 9 9 14 NA NA NA NA NA NA NA NA 95000 239313 39.69693418 "" "" "" ""
